date,company,ticker,product_category,region,sales_volume,revenue,price,marketing_spend,discount_rate,inventory_level,promotion_flag,holiday_flag,sentiment_score,positive_mentions,negative_mentions,neutral_mentions,news_volume,social_buzz_index,open_price,close_price,high_price,low_price,volume,sector_index,market_return,sales_lag_7,sales_rolling_mean_30,sentiment_lag_1,sentiment_rolling_mean_7,stock_pct_change,volatility_index,marketing_growth_rate,data_ingested_timestamp
2020-01-01,Amazon,AMZN,Retail,Global,841.7,12625.5,15.0,82841.54,0.024,1668,0,1,0.0015,0,0,53,53,53.08,15.0667,15.0,15.0808,14.9755,2031041,1.000397,0.0,841.7,841.7,0.0015,0.0015,0.0,,0.0,2025-11-11 11:28:45.711988
2020-01-02,Amazon,AMZN,Retail,Global,1180.33,17507.73,14.832909708478129,145709.52,0.074,1997,1,0,0.0006,0,0,64,64,64.04,14.8446,14.8329,14.8894,14.7809,1463771,1.000287,-0.000111,1180.33,1011.015,0.0015,0.00105,-0.0111399999999999,0.1181575431362724,0.758894390422969,2025-11-11 11:28:45.711988
2020-01-03,Amazon,AMZN,Retail,Global,818.95,12516.36,15.283417934797326,85284.71,0.015,1733,0,0,0.0011,0,0,59,59,59.07,15.2681,15.2834,15.3484,15.1167,1070149,1.000805,0.000518,818.95,946.9933333333332,0.0006,0.0010666666666666,0.0303716737792338,0.2277382342368825,-0.4146936315485768,2025-11-11 11:28:45.711988
2020-01-04,Amazon,AMZN,Retail,Global,849.08,13323.97,15.692237695986872,70567.61,0.012,1910,0,0,0.0046,0,0,73,73,73.34,15.7644,15.6922,15.8119,15.5694,1340566,1.002023,0.001217,849.08,922.515,0.0011,0.00195,0.0267479749270449,0.3759258559432514,-0.1725643435968769,2025-11-11 11:28:45.711988
2020-01-05,Amazon,AMZN,Retail,Global,946.77,14738.97,15.56763099980432,85759.24,0.005,2496,0,0,0.0041,0,0,73,73,73.3,15.5547,15.5676,15.5924,15.5315,1365739,1.001836,-0.000187,946.77,927.366,0.0046,0.00238,-0.0079402505703469,0.3642864010637778,0.2152776606718012,2025-11-11 11:28:45.711988
2020-01-06,Amazon,AMZN,Retail,Global,855.01,13538.61,15.83444067568358,75942.32,0.017,1859,0,0,0.0034,0,0,54,54,54.19,15.7961,15.8344,15.885,15.5852,1155807,1.001649,-0.000187,855.01,915.3066666666668,0.0041,0.0025499999999999,0.017138158739947,0.3978408949148719,-0.1144706972683059,2025-11-11 11:28:45.711988
2020-01-07,Amazon,AMZN,Retail,Global,875.77,14325.95,16.35811407087051,77770.02,0.014,2012,0,0,0.0061,0,0,53,53,53.32,16.3414,16.3581,16.4362,16.2719,1141184,1.002912,0.001261,875.77,909.6585714285712,0.0034,0.0030571428571428,0.0330735613600767,0.5213660358455778,0.0240669497587115,2025-11-11 11:28:45.711988
2020-01-08,Amazon,AMZN,Retail,Global,726.01,12110.78,16.681281463475504,82194.94,0.033,2085,0,0,0.0088,0,0,66,66,66.58,16.6627,16.6813,16.726,16.6231,1988838,1.003526,0.000612,841.7,886.7025,0.0061,0.0041,0.0197577958320342,0.6244500551914218,0.0568975036910108,2025-11-11 11:28:45.711988
2020-01-09,Amazon,AMZN,Retail,Global,911.6,15032.66,16.490407813123745,82819.48,0.025,1710,0,0,0.0083,0,0,56,56,56.47,16.5262,16.4904,16.7412,16.4223,1890003,1.00315,-0.000374,1180.33,889.468888888889,0.0088,0.0052,-0.0114439522099596,0.5250907880683906,0.0075982779475232,2025-11-11 11:28:45.711988
2020-01-10,Amazon,AMZN,Retail,Global,1122.52,18539.94,16.516357471304918,136746.07,0.07,1801,1,0,0.007,0,0,78,78,78.55,16.5126,16.5164,16.5692,16.3061,1080472,1.003584,0.000433,818.95,912.774,0.0083,0.0060428571428571,0.0015766749138892,0.4514629790232735,0.6511341293135384,2025-11-11 11:28:45.711988
2020-01-11,Amazon,AMZN,Retail,Global,916.98,14747.22,16.082375454863666,89695.88,0.028,1916,0,0,0.0055,0,0,51,51,51.28,16.0856,16.0824,16.1501,15.9395,1768943,1.003214,-0.000369,849.08,913.1563636363636,0.007,0.0061714285714285,-0.026276912644402,0.4053954195479683,-0.3440697783855873,2025-11-11 11:28:45.711988
2020-01-12,Amazon,AMZN,Retail,Global,901.11,14282.25,15.84961416596591,88024.83,0.033,2036,0,0,0.0045,0,0,73,73,73.33,15.8516,15.8496,15.9529,15.7907,1144001,1.002841,-0.000371,946.77,912.1525,0.0055,0.0062285714285714,-0.0144754514251603,0.3383883068169956,-0.0186301756557826,2025-11-11 11:28:45.711988
2020-01-13,Amazon,AMZN,Retail,Global,893.43,14157.29,15.845995611331563,74725.77,0.018,2263,0,0,0.0057,0,0,51,51,51.29,15.883,15.846,15.9208,15.7276,1523244,1.003035,0.000193,855.01,910.7123076923076,0.0045,0.0065571428571428,-0.0002271350696547,0.3359825937951704,-0.1510830523614756,2025-11-11 11:28:45.711988
2020-01-14,Amazon,AMZN,Retail,Global,938.28,14917.0,15.898238888375095,82367.11,0.018,1667,0,0,0.0014,0,0,92,92,92.13,15.888,15.8982,15.9451,15.8586,1445317,1.001504,-0.001526,875.77,912.6814285714288,0.0057,0.0058857142857142,0.0032942067398711,0.3579846132633784,0.1022584310606635,2025-11-11 11:28:45.711988
2020-01-15,Amazon,AMZN,Retail,Global,915.97,14410.94,15.732979683176731,85140.69,0.006,2003,0,0,-0.0012,0,0,82,82,82.1,15.7265,15.733,15.8405,15.6979,1801140,1.000124,-0.001378,726.01,912.9006666666668,0.0014,0.0044571428571428,-0.0103911134593852,0.3207327533128102,0.0336733922071565,2025-11-11 11:28:45.711988
2020-01-16,Amazon,AMZN,Retail,Global,787.75,11882.1,15.083597373611154,74555.82,0.034,1108,0,0,-0.0022,0,0,74,74,74.16,15.0628,15.0836,15.1269,15.0527,1289725,0.999674,-0.00045,911.6,905.07875,-0.0012,0.0029571428571428,-0.0412762982266573,0.428368108278933,-0.1243221073261209,2025-11-11 11:28:45.711988
2020-01-17,Amazon,AMZN,Retail,Global,845.0,12782.64,15.12738488324699,70387.46,0.03,1979,0,0,-0.0028,0,0,54,54,54.15,15.1147,15.1274,15.1546,15.0696,1585424,0.998864,-0.000811,1122.52,901.5447058823528,-0.0022,0.0015571428571428,0.0029038160651302,0.3930508606371615,-0.0559092502771748,2025-11-11 11:28:45.711988
